layer,d_out,d_in,base_fro,base_rms
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_q,1280,1280,59.88174345853006,0.04678261207697661
up_blocks.1.attentions.2.transformer_blocks.0.attn2.to_v,1280,768,39.82269450568101,0.04016474807854378
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_k,640,640,40.92540049962744,0.06394593828066789
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_out.0,640,640,36.566203113859316,0.05713469236540518
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_q,640,640,41.08980002929594,0.0642028125457749
up_blocks.2.attentions.0.transformer_blocks.0.attn1.to_v,640,640,38.144926079052375,0.05960144699851934
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_k,640,768,40.75816994861416,0.058135856988242585
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_out.0,640,640,16.61990662478049,0.025968604101219518
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_q,640,640,38.147773635611,0.05960589630564219
up_blocks.2.attentions.0.transformer_blocks.0.attn2.to_v,640,768,37.07813423788796,0.05288679820910379
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_k,640,640,46.60752368865287,0.07282425576352011
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_out.0,640,640,33.42119989411193,0.05222062483454989
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_q,640,640,47.14365573082309,0.07366196207941109
up_blocks.2.attentions.1.transformer_blocks.0.attn1.to_v,640,640,34.68451114555253,0.054194548664925825
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_k,640,768,35.95687143881948,0.05128747287592362
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_out.0,640,640,11.21123782814185,0.017517559106471643
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_q,640,640,34.02814897675171,0.053168982776174545
up_blocks.2.attentions.1.transformer_blocks.0.attn2.to_v,640,768,25.00520989968155,0.03566645186772676
up_blocks.2.attentions.2.transformer_blocks.0.attn1.to_k,640,640,43.69616156593057,0.06827525244676652
