att,bi,block,cos_1000_2500,cos_1000_5000,cos_2500_5000,d_in,d_out,ds,fro,kind,layer,proj,rms,s1,s16,s_ratio,side,srank,step
0,0,down_0,0.7235772626169484,0.589360995814784,0.7914002210067801,320,320,cub,0.5374608278709582,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_k,to_k,0.0016795650870967444,0.2201698821253533,0.05915128072232857,0.26866199932219115,down,5.959060761124966,5000
0,0,down_0,,,,320,320,cub,0.24322829299344292,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,to_out,0.0007600884156045092,0.10235016077668743,0.02675881544021404,0.2614438046521268,down,5.647433495536151,1000
0,0,down_0,,,,320,320,cub,0.38324608739260024,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,to_out,0.0011976440231018758,0.14772146512169929,0.045059863894157295,0.30503260888344863,down,6.730824188494143,2500
0,0,down_0,0.7141021481628292,0.5961356103571305,0.787205174188058,320,320,cub,0.534989066270854,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_out.0,to_out,0.0016718408320964186,0.21065942065897436,0.06741434436718083,0.32001580634893334,down,6.449529620269571,5000
0,0,down_0,,,,320,320,cub,0.24365318851104306,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,to_q,0.0007614162140970095,0.10277269729773907,0.026612175891866388,0.25894207889444815,down,5.620677772785577,1000
0,0,down_0,,,,320,320,cub,0.3922693750851311,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,to_q,0.0012258417971410347,0.1642060250745138,0.04495274595247502,0.2737582006024216,down,5.706773430840634,2500
0,0,down_0,0.6889945308412333,0.5240305198245404,0.7692569295897881,320,320,cub,0.5423384783920558,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_q,to_q,0.0016948077449751744,0.21212115502473677,0.060238345128677796,0.28398084633120646,down,6.53691548606022,5000
0,0,down_0,,,,320,320,cub,0.23262673709531362,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,to_v,0.0007269585534228551,0.12671758684597537,0.01983299517945556,0.15651335914060985,down,3.37012081955304,1000
0,0,down_0,,,,320,320,cub,0.3435302505887016,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,to_v,0.0010735320330896925,0.16360891011092124,0.03509254812431956,0.21449044615313442,down,4.408756055818164,2500
0,0,down_0,0.7218360075803036,0.5721434817257495,0.7654885219566786,320,320,cub,0.4756895448254788,attn1,unet.down_blocks.0.attentions.0.transformer_blocks.0.attn1.to_v,to_v,0.0014865298275796213,0.20718088311024366,0.051879780434524354,0.2504081441091186,down,5.271665585977345,5000
