timestamp,dataset,t,prompt,cfg,lora,block,seed,probe_acc,knn_acc,n_train,n_test,train_file
2026-08-09T05:08:08,cub,300,P3,off,none,up_2,0,0.2166,0.0538,5994,5794,cub_train_t300_P3_cfgoff.pt
2026-08-09T05:08:11,cub,300,P4,off,none,down_2,0,0.9158,0.2185,5994,5794,cub_train_t300_P4_cfgoff.pt
2026-08-09T05:08:12,cub,300,P4,off,none,mid,0,0.9418,0.2774,5994,5794,cub_train_t300_P4_cfgoff.pt
2026-08-09T05:08:14,cub,300,P4,off,none,up_0,0,0.6883,0.1015,5994,5794,cub_train_t300_P4_cfgoff.pt
2026-08-09T05:08:15,cub,300,P4,off,none,up_1,0,0.6895,0.1075,5994,5794,cub_train_t300_P4_cfgoff.pt
2026-08-09T05:08:16,cub,300,P4,off,none,up_2,0,0.2185,0.0538,5994,5794,cub_train_t300_P4_cfgoff.pt
2026-08-09T05:08:26,pets,100,P1,off,none,down_2,0,0.5923,0.2927,3680,3669,pets_trainval_t100_P1_cfgoff.pt
2026-08-09T05:08:27,pets,100,P1,off,none,mid,0,0.5814,0.2131,3680,3669,pets_trainval_t100_P1_cfgoff.pt
2026-08-09T05:08:27,pets,100,P1,off,none,up_0,0,0.5034,0.1420,3680,3669,pets_trainval_t100_P1_cfgoff.pt
2026-08-09T05:08:28,pets,100,P1,off,none,up_1,0,0.6642,0.3140,3680,3669,pets_trainval_t100_P1_cfgoff.pt
2026-08-09T05:08:29,pets,100,P1,off,none,up_2,0,0.4361,0.1733,3680,3669,pets_trainval_t100_P1_cfgoff.pt
2026-08-09T05:08:31,pets,100,P2,off,none,down_2,0,0.5996,0.2933,3680,3669,pets_trainval_t100_P2_cfgoff.pt
2026-08-09T05:08:32,pets,100,P2,off,none,mid,0,0.5765,0.2066,3680,3669,pets_trainval_t100_P2_cfgoff.pt
2026-08-09T05:08:33,pets,100,P2,off,none,up_0,0,0.5031,0.1368,3680,3669,pets_trainval_t100_P2_cfgoff.pt
2026-08-09T05:08:33,pets,100,P2,off,none,up_1,0,0.6727,0.3137,3680,3669,pets_trainval_t100_P2_cfgoff.pt
2026-08-09T05:08:34,pets,100,P2,off,none,up_2,0,0.4383,0.1750,3680,3669,pets_trainval_t100_P2_cfgoff.pt
2026-08-09T05:08:36,pets,100,P3,off,none,down_2,0,0.9507,0.5271,3680,3669,pets_trainval_t100_P3_cfgoff.pt
2026-08-09T05:08:36,pets,100,P3,off,none,mid,0,0.9409,0.3598,3680,3669,pets_trainval_t100_P3_cfgoff.pt
2026-08-09T05:08:37,pets,100,P3,off,none,up_0,0,0.7765,0.1619,3680,3669,pets_trainval_t100_P3_cfgoff.pt
2026-08-09T05:08:38,pets,100,P3,off,none,up_1,0,0.8626,0.3996,3680,3669,pets_trainval_t100_P3_cfgoff.pt
